,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1,,164200,,167,108,112,116,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,,164,172,177107,,167,108,112,113,115,116,127,129,131,131,203,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,164,172,177106,,171,153,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,164,172,177,165,104,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,164,172,177107,,167,108,112,113,115,116,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,164,172,177107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,,164,172,177107,,167,108,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,,164,172,177107,,167,108,112,113,115,116,120,410,410,120,410,410,120,410,410,120,410,410,120,410,410,120,613,613,120,613,613,0
14,,164,172,177107,,167,108,112,113,115,116,120,613,613,120,613,120,613,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,,164,172,177107,,167,108,112,113,115,116,120,410,124,120,410,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,,164,172,177107,,167,108,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,,164,172,177106,,171,153,153,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,,164,172,177107,,167,108,112,113,115,116,129,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,,164,172,177106,,171,153,116,154,154,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,,164,172,177106,,171,153,113,115,116,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,,164,172,177107,,168,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,,164,172,177,165,103,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,,164,172,177107,,167,108,112,113,115,116,129,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,,164,172,177107,,167,109,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,128,128,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,,164,172,177107,,167,108,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,,164,172,177107,,167,108,111,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,,164,172,177107,,167,108,112,113,115,116,127,129,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,,164,172,177106,,171,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,,164,172,177107,,167,108,112,113,115,116,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,,164,172,177107,,167,108,112,113,115,116,147,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,,164,172,177106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,164,172,177107,,167,108,112,113,115,116,129,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,,164,172,177107,,167,108,112,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,,164,172,177107,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,,164200,,167,108,112,116,121,123,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,,164,172,177107,,167,108,112,113,115,116,120,410,410,120,410,410,120,410,410,127,0,0,0,0,0,0,0,0,0,0,0,0
58,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,,164,172,177107,,167,108,112,113,115,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,,164,172,177107,,167,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,,164,172,177107,,167,108,112,113,115,116,120,538,538,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,,164,172,177107,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,,164,172,177107,,167,108,112,113,115,116,127,129,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,,164,172,177107,,167,108,112,113,115,116,129,131,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,,164,172,177107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,,164,172,177107,,167,108,112,113,115,116,120,613,613,129,130,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,,164,172,177107,,167,108,112,113,115,116,120,410,120,410,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,,164,172,177107,,167,108,112,113,115,116,120,453,453,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,,164,172,177107,,167,108,112,113,115,116,127,129,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,,164,172,177107,,167,108,112,113,115,116,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,,164,172,177106,,171,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,,164,172,177107,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,,164,172,177107,,167,108,112,113,115,116,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,,164,172,177107,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,,164,172,177107,,167,108,112,113,115,116,112,135,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,,164,172,177107,,167,108,112,113,115,116,127,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,,164,172,177107,,167,108,112,113,115,116,127,120,613,613,120,613,613,120,410,410,116,116,121,143,143,0,0,0,0,0,0,0
90,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,164,172,177107,,167,108,112,113,115,116,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,,164,172,177107,,167,109,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,,164,172,177107,,167,108,112,113,115,116,120,613,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,,164,172,177107,,167,108,112,113,114,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,,164,172,177107,,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
